PROBEID	ENTREZID	SYMBOL
1415937_s_at	18571	Pdcd6ip
1415938_at	20730	Spink1
1415939_at	14264	Fmod
1415940_at	100494	Zfand2a
1415941_s_at	100494	Zfand2a
1415942_at	110954|434434	Rpl10|Gm5621
1415943_at	20969	Sdc1
1415944_at	20969	Sdc1
1415945_at	17218	Mcm5
1415946_at	14755	Pigq
1415947_at	433375	Creg1
1415948_at	433375	Creg1
1415949_at	12876	Cpe
1415950_a_at	23980	Pebp1
1415951_at	14230	Fkbp10
1415952_at	13728	Mark2
1415953_s_at	13728	Mark2
1415954_at	103964|22074	Try5|Try4
1415955_x_at	19118	Prm1
1415956_a_at	18555	Cdk16
1415957_a_at	18114	Rrp1
1415958_at	20528	Slc2a4
1415959_at	20528	Slc2a4
1415960_at	17523	Mpo
1415961_at	64294	Itm2c
1415962_at	68135	Eif3h
1415963_at	56258	Hnrnph2
1415964_at	20249	Scd1
1415965_at	20249	Scd1
1415966_a_at	17995	Ndufv1
1415967_at	17995	Ndufv1
1415968_a_at	16483	Kap
1415969_s_at	16483	Kap
1415970_at	12864	Cox6c
1415971_at	17118	Marcks
1415972_at	17118	Marcks
1415973_at	17118	Marcks
1415974_at	26396	Map2k2
1415975_at	52502	Carhsp1
1415976_a_at	52502	Carhsp1
1415977_at	71780	Isyna1
1415978_at	22152	Tubb3
1415979_x_at	19989	Rpl7
1415980_at	67942	Atp5g2
1415981_at	80517	Herpud2
1415982_at	80517	Herpud2
1415983_at	18826	Lcp1
1415984_at	11364	Acadm
1415985_at	101943	Sf3b3
1415986_at	12727	Clcn4-2
1415987_at	110611	Hdlbp
1415988_at	110611	Hdlbp
1415989_at	22329	Vcam1
1415990_at	22334	Vdac2
1415991_a_at	71765	Klhdc3
1415992_at	56703	Pigo
1415993_at	20775	Sqle
1415994_at	13106	Cyp2e1
1415995_at	12368	Casp6
1415996_at	56338	Txnip
1415997_at	56338	Txnip
1415998_at	22333	Vdac1
1415999_at	15213	Hey1
1416000_a_at	100862012|18477	Gm21399|Prdx1
1416001_a_at	72042	Cotl1
1416002_x_at	72042	Cotl1
1416003_at	18417	Cldn11
1416004_at	22629	Ywhah
1416005_at	19179	Psmc1
1416006_at	17242	Mdk
1416007_at	20230	Satb1
1416008_at	20230	Satb1
1416009_at	56434	Tspan3
1416010_a_at	13660	Ehd1
1416011_x_at	13660	Ehd1
1416012_at	13660	Ehd1
1416013_at	18807	Pld3
1416014_at	24015	Abce1
1416015_s_at	24015	Abce1
1416016_at	16912|21354	Psmb9|Tap1
1416017_at	54161	Copg1
1416018_at	13486	Dr1
1416019_at	13486	Dr1
1416020_a_at	11951	Atp5g1
1416021_a_at	16592	Fabp5
1416022_at	16592	Fabp5
1416023_at	14077	Fabp3
1416024_x_at	12462	Cct3
1416025_at	99571	Fgg
1416026_a_at	102635048|269261	LOC102635048|Rpl12
1416027_at	18570	Pdcd6
1416028_a_at	15374	Hn1
1416029_at	21847	Klf10
1416030_a_at	17220	Mcm7
1416031_s_at	17220	Mcm7
1416032_at	68539	Tmem109
1416033_at	68539	Tmem109
1416034_at	12484	Cd24a
1416035_at	15251	Hif1a
1416036_at	14225	Fkbp1a
1416037_a_at	12461	Cct2
1416038_at	56463	Snd1
1416039_x_at	16007	Cyr61
1416040_at	67717	Lipf
1416041_at	20393	Sgk1
1416042_s_at	50927	Nasp
1416043_at	50927	Nasp
1416044_at	14248	Flii
1416045_a_at	20587	Smarcb1
1416046_a_at	66848	Fuca2
1416047_at	66848	Fuca2
1416048_at	54383	Phc2
1416049_at	104174	Gldc
1416050_a_at	20778	Scarb1
1416051_at	12263	C2
1416052_at	19139	Prps1
1416053_at	16979	Lrrn1
1416054_at	20103	Rps5
1416055_at	100043207|100043684|100043686|100043688|109959	Amy2a1|Amy2a4|Amy2a3|Amy2a2|Amy2a5
1416056_a_at	104130	Ndufb11
1416057_at	104130	Ndufb11
1416058_s_at	11949	Atp5c1
1416059_at	27054	Sec23b
1416060_at	66687	Tbc1d15
1416061_at	66687	Tbc1d15
1416062_at	66687	Tbc1d15
1416063_x_at	66996	Ceacam11
1416064_a_at	14828	Hspa5
1416065_a_at	102334	Ankrd10
1416066_at	12527	Cd9
