SYMBOL	meta2d_phase
Fam96a	20.8555622149289
Fastk	8.6495967209133
Fastkd3	16.4677609473328
Fbxl20	7.0640138724263
Fbxo31	11.2407022870415
Fbxo33	15.9724246970808
Fbxo6	2.1968321296747
Fdps	21.2315416570921
Fga	3.15058255055015
Fgb	3.88984705944915
Flcn	6.7469683833245
Fmo2	16.529771760347
Foxn3	4.6304834688555
Fpgs	23.1554494333826
Ftsj1	18.0891426387061
Fus	6.71167496280365
G6pc	21.947477238423
G6pdx	22.458529659294
Gadd45a	10.5014565538889
Gbp6	2.3380341263493
Gch1	9.3422953356574
Gcnt2	9.68383211052035
Gda	16.5923800630789
Gemin2	13.5881423735203
Gfod2	21.9956216835233
Ggct	23.1944989424554
Gldc	0.34186429670245
Glo1	3.719816524874
Glrx	16.6375508012433
Glrx5	15.0196222921727
